Artifact,Role,SHA256
analysis_primary.dta,Frozen health3-corrected primary input,7ed14e242000f209c13d89ddf4f33531bdee30e4ba5b4598d934042d69db0158
Manuscripi_Revision_1_Clean.docx,Manuscript result authority,19ffc910b9e2b126695d880132699b765e69fe887a169d9811bb479f932b0d3f
HSSC_analysis_data_final.dta,Local restricted single-DTA replication input,84934e495dfe9a5b98dba43dd70fd2e0f2ac65eb29c0cb0983bc4c57bb5a0639
historical_rice_province_data.xlsx,Province-level historical indicator,b74f591aa30b2db0223cd190bad1679c89511ef28613c134a536c1799f3a3d0c
