model,statistic,estimate,se,p,lower,upper,N,clusters
G3_gender,female_education_AME,.035337082700007,.003947489,3.4977133e-19,.027600147,.043074019,15165,23
G3_gender,male_education_AME,.0550971072677938,.0064026765,7.6101377e-18,.04254809,.067646123,15165,23
G3_gender,male_minus_female,.0197600245677868,.0039324951,5.0394272e-07,.012052475,.027467573,15165,23
