target,term,estimate,attempted,successful,failures,bootstrap_se,lower,upper
H2,ame_edu,.0487575116355161,1999,1999,0,.0054513527658575,.034193303,.055778403
H2,ame_rice,-.0073041684834708,1999,1999,0,.0039500395184339,-.015756302,.00066492724
H3,P75_minus_P25,-.0012423926305214,1999,1999,0,.0119419667020943,-.020212391,.024114694
