model,term,estimate,builtin_se,share_raw_gap,N,N_south,N_north,reps
F0,edu,-.0081154546697802,.0006729715938139,14.85403740906355,15165,5356,9809,1000
F0,plants,-.0314264281435691,.0054828281239634,57.52103341986427,15165,5356,9809,1000
F0,age,.0010723196566199,.0006050042765057,-1.96270904613867,15165,5356,9809,1000
F0,gender,.0002208406763812,.0001897659515127,-.4042134177182179,15165,5356,9809,1000
F0,marriage,-.0003192782997357,.0002376459806123,.5843876900496739,15165,5356,9809,1000
F0,ln_income,.0001301964611589,.0003681807816771,-.2383037282906224,15165,5356,9809,1000
F0,health,-.0010521661361884,.000615258311301,1.92582126121533,15165,5356,9809,1000
F0,sportsArea,.0056513518123729,.0010253252590855,-10.34389256653182,15165,5356,9809,1000
F0,year14,-.0060688561503552,.0006665118236328,11.10806725632821,15165,5356,9809,1000
F0,diff,-.054634672353985,,100,15165,5356,9809,1000
F0,expl,-.0398852975709491,,73.00363643169155,15165,5356,9809,1000
F0,pr_0,.1527259148618372,,,15165,5356,9809,1000
F0,pr_1,.2073605872158222,,,15165,5356,9809,1000
F1,edu,-.0087426534999136,.0007164557447438,16.0020242150787,15165,5356,9809,1000
F1,plants,-.0118430474143149,.0102493560909929,21.6767977257781,15165,5356,9809,1000
F1,age,.0013313196898802,.0006186603274017,-2.4367670428302,15165,5356,9809,1000
F1,gender,.0002044197057563,.000188628806484,-.3741574662183154,15165,5356,9809,1000
F1,marriage,-.0002679079591712,.000229829175089,.4903625255321535,15165,5356,9809,1000
F1,ln_income,.0001504158385333,.0003682624005391,-.2753120537791279,15165,5356,9809,1000
F1,health,-.0010207974617323,.0006219844015564,1.868405936652123,15165,5356,9809,1000
F1,sportsArea,.0057420244495465,.0010263209429059,-10.50985427778031,15165,5356,9809,1000
F1,year14,-.0057555396195105,.0006752920075789,10.5345916274918,15165,5356,9809,1000
F1,rice10,-.0250398993918511,.0111422307281083,45.83151744667644,15165,5356,9809,1000
F1,diff,-.054634672353985,,100,15165,5356,9809,1000
F1,expl,-.045245331321273,,82.81431803621469,15165,5356,9809,1000
F1,pr_0,.1527259148618372,,,15165,5356,9809,1000
F1,pr_1,.2073605872158222,,,15165,5356,9809,1000
F2,edu,-.0075249294220686,.0006823439563891,13.77317571031389,15165,5356,9809,1000
F2,plants,-.0056054854886814,.0106892560898743,10.25994162161851,15165,5356,9809,1000
F2,age,.0008651140454416,.0005904549765945,-1.583452427126121,15165,5356,9809,1000
F2,gender,.0003930894911751,.0002165752116501,-.7194872307976575,15165,5356,9809,1000
F2,marriage,-.0001725560342139,.0002378059951383,.3158361289253357,15165,5356,9809,1000
F2,ln_income,.0000596410415585,.0003872101293697,-.1091633554093014,15165,5356,9809,1000
F2,health,-.0007943776165067,.000607979088219,1.453980745706338,15165,5356,9809,1000
F2,sportsArea,.0051691223635352,.0010494171053688,-9.461248948367114,15165,5356,9809,1000
F2,year14,-.0064476021639351,.0007278075840114,11.80130105322175,15165,5356,9809,1000
F2,rice10,-.0407451491049115,.0112478737801127,74.57745667608022,15165,5356,9809,1000
F2,ln_gdp_hist,.0160229366584318,.0030890372600963,-29.32741420066948,15165,5356,9809,1000
F2,urban2000_10,-.0115111866942689,.0048545872744638,21.06937993457063,15165,5356,9809,1000
F2,diff,-.054634672353985,,100,15165,5356,9809,1000
F2,expl,-.0503031269615793,,92.07180128336623,15165,5356,9809,1000
F2,pr_0,.1527259148618372,,,15165,5356,9809,1000
F2,pr_1,.2073605872158222,,,15165,5356,9809,1000
