draw,rc,term,estimate,raw_gap,N
1,0,edu,-.0185296909452623,-.1193973925464801,14441
1,0,plants,-.0279561458450316,-.1193973925464801,14441
1,0,age,-.0021911222412035,-.1193973925464801,14441
1,0,gender,.0009129581331051,-.1193973925464801,14441
1,0,marriage,.000353518290827,-.1193973925464801,14441
1,0,ln_income,-.0002145108303637,-.1193973925464801,14441
1,0,health,-.0006849302435012,-.1193973925464801,14441
1,0,sportsArea,.0060828533790602,-.1193973925464801,14441
1,0,year14,-.0109392632797108,-.1193973925464801,14441
1,0,rice10,-.0477901922869942,-.1193973925464801,14441
1,0,ln_gdp_hist,-.007350896176785,-.1193973925464801,14441
1,0,urban2000_10,.0012311426133728,-.1193973925464801,14441
1,0,diff,-.1193973925464801,-.1193973925464801,14441
1,0,expl,-.1071479603198193,-.1193973925464801,14441
1,0,pr_0,.1261946902654867,-.1193973925464801,14441
1,0,pr_1,.2455920828119668,-.1193973925464801,14441
2,0,edu,-.011829850804043,-.0969579930056685,8595
2,0,plants,-.0050095483382742,-.0969579930056685,8595
2,0,age,.0018941437518304,-.0969579930056685,8595
2,0,gender,.001198840988644,-.0969579930056685,8595
2,0,marriage,.0024547441163121,-.0969579930056685,8595
2,0,ln_income,-.0003903369748637,-.0969579930056685,8595
2,0,health,-.0028512357699308,-.0969579930056685,8595
2,0,sportsArea,.001377714675619,-.0969579930056685,8595
2,0,year14,-.0146853185494092,-.0969579930056685,8595
2,0,rice10,-.0475330357000671,-.0969579930056685,8595
2,0,ln_gdp_hist,-.0173403533481604,-.0969579930056685,8595
2,0,urban2000_10,-.0020335306441593,-.0969579930056685,8595
2,0,diff,-.0969579930056685,-.0969579930056685,8595
2,0,expl,-.0947601120857105,-.0969579930056685,8595
2,0,pr_0,.1344986647244477,-.0969579930056685,8595
2,0,pr_1,.2314566577301162,-.0969579930056685,8595
3,0,edu,-.0048666010318632,-.0560241258110344,26656
3,0,plants,-.0083971973625677,-.0560241258110344,26656
3,0,age,.0005629869725322,-.0560241258110344,26656
3,0,gender,.0000384048788194,-.0560241258110344,26656
3,0,marriage,-.001681648948589,-.0560241258110344,26656
3,0,ln_income,.0003193240036441,-.0560241258110344,26656
3,0,health,-.0000373189507391,-.0560241258110344,26656
3,0,sportsArea,.0048826076352923,-.0560241258110344,26656
3,0,year14,-.0065767003839525,-.0560241258110344,26656
3,0,rice10,-.0526188811898274,-.0560241258110344,26656
3,0,ln_gdp_hist,.0316678861126576,-.0560241258110344,26656
3,0,urban2000_10,-.0190694349017855,-.0560241258110344,26656
3,0,diff,-.0560241258110344,-.0560241258110344,26656
3,0,expl,-.0557813789804902,-.0560241258110344,26656
3,0,pr_0,.1391268869849041,-.0560241258110344,26656
3,0,pr_1,.1951510127959385,-.0560241258110344,26656
4,0,edu,-.0128590073679583,-.0531191310085782,23815
4,0,plants,-.0439568443677445,-.0531191310085782,23815
4,0,age,.0011988856878543,-.0531191310085782,23815
4,0,gender,.0001782020885287,-.0531191310085782,23815
4,0,marriage,-.0009100906645546,-.0531191310085782,23815
4,0,ln_income,.0001931245161392,-.0531191310085782,23815
4,0,health,.0000372937666857,-.0531191310085782,23815
4,0,sportsArea,.0032077232228739,-.0531191310085782,23815
4,0,year14,-.0087190939040472,-.0531191310085782,23815
4,0,rice10,.0225960191008174,-.0531191310085782,23815
4,0,ln_gdp_hist,.0000926075222027,-.0531191310085782,23815
4,0,urban2000_10,-.0093198597244363,-.0531191310085782,23815
4,0,diff,-.0531191310085782,-.0531191310085782,23815
4,0,expl,-.0482213834436328,-.0531191310085782,23815
4,0,pr_0,.1363636363636364,-.0531191310085782,23815
4,0,pr_1,.1894827673722146,-.0531191310085782,23815
5,0,edu,-.0129880229205975,-.0630793217123804,9901
5,0,plants,-.0040836136247537,-.0630793217123804,9901
5,0,age,.0038471197964094,-.0630793217123804,9901
5,0,gender,.0008449374780073,-.0630793217123804,9901
5,0,marriage,.0030997664583594,-.0630793217123804,9901
5,0,ln_income,-.0000833819835916,-.0630793217123804,9901
5,0,health,-.0054282785691934,-.0630793217123804,9901
5,0,sportsArea,.0029002796238623,-.0630793217123804,9901
5,0,year14,-.007938061818906,-.0630793217123804,9901
5,0,rice10,-.0408780410600823,-.0630793217123804,9901
5,0,ln_gdp_hist,-.0022830827779244,-.0630793217123804,9901
5,0,urban2000_10,-.0007325822580454,-.0630793217123804,9901
5,0,diff,-.0630793217123804,-.0630793217123804,9901
5,0,expl,-.0638431888264875,-.0630793217123804,9901
5,0,pr_0,.1632900432900433,-.0630793217123804,9901
5,0,pr_1,.2263693650024237,-.0630793217123804,9901
6,0,edu,-.0069539517785214,-.0528833232286678,16417
6,0,plants,.0047533576463498,-.0528833232286678,16417
6,0,age,.0004547857384843,-.0528833232286678,16417
6,0,gender,.0001484938822555,-.0528833232286678,16417
6,0,marriage,-.0003919994487334,-.0528833232286678,16417
6,0,ln_income,.0002461721011746,-.0528833232286678,16417
6,0,health,-.000811365429131,-.0528833232286678,16417
6,0,sportsArea,.0051010022574973,-.0528833232286678,16417
6,0,year14,-.0048403688865307,-.0528833232286678,16417
6,0,rice10,-.0483160257078801,-.0528833232286678,16417
6,0,ln_gdp_hist,.0101180417083261,-.0528833232286678,16417
6,0,urban2000_10,-.0070403100842139,-.0528833232286678,16417
6,0,diff,-.0528833232286678,-.0528833232286678,16417
6,0,expl,-.0475360171499605,-.0528833232286678,16417
6,0,pr_0,.1535177865612648,-.0528833232286678,16417
6,0,pr_1,.2064011097899326,-.0528833232286678,16417
7,0,edu,-.0231575761765267,-.1123860917622918,11425
7,0,plants,-.028379530427961,-.1123860917622918,11425
7,0,age,.0017637617591051,-.1123860917622918,11425
7,0,gender,.000646705454305,-.1123860917622918,11425
7,0,marriage,.0002835068023593,-.1123860917622918,11425
7,0,ln_income,.0001271152468431,-.1123860917622918,11425
7,0,health,-.002221531312727,-.1123860917622918,11425
7,0,sportsArea,.0011596828861,-.1123860917622918,11425
7,0,year14,-.014771808619595,-.1123860917622918,11425
7,0,rice10,-.0318223972355353,-.1123860917622918,11425
7,0,ln_gdp_hist,-.0079359438958536,-.1123860917622918,11425
7,0,urban2000_10,.0001637129177101,-.1123860917622918,11425
7,0,diff,-.1123860917622918,-.1123860917622918,11425
7,0,expl,-.1041019971415298,-.1123860917622918,11425
7,0,pr_0,.1276509796000808,-.1123860917622918,11425
7,0,pr_1,.2400370713623726,-.1123860917622918,11425
8,0,edu,-.0032703563046815,-.0355358152992858,15508
8,0,plants,.0035630422055174,-.0355358152992858,15508
8,0,age,.0021917621315907,-.0355358152992858,15508
8,0,gender,.0002270902781034,-.0355358152992858,15508
8,0,marriage,.0009471064897911,-.0355358152992858,15508
8,0,ln_income,-.0000302521268454,-.0355358152992858,15508
8,0,health,-.0009833498357162,-.0355358152992858,15508
8,0,sportsArea,.0099148146809436,-.0355358152992858,15508
8,0,year14,-.0033731140452194,-.0355358152992858,15508
8,0,rice10,-.0670883269899282,-.0355358152992858,15508
8,0,ln_gdp_hist,.0940615716301709,-.0355358152992858,15508
8,0,urban2000_10,-.0724862740199662,-.0355358152992858,15508
8,0,diff,-.0355358152992858,-.0355358152992858,15508
8,0,expl,-.0364232929666594,-.0355358152992858,15508
8,0,pr_0,.1821518696948841,-.0355358152992858,15508
8,0,pr_1,.2176876849941699,-.0355358152992858,15508
9,0,edu,-.0071444850119934,-.0596878155851779,16010
9,0,plants,-.0356666007262769,-.0596878155851779,16010
9,0,age,-.0002874800544312,-.0596878155851779,16010
9,0,gender,.0000476960988703,-.0596878155851779,16010
9,0,marriage,-.0001598302969539,-.0596878155851779,16010
9,0,ln_income,.0000477381384799,-.0596878155851779,16010
9,0,health,-.0002165752063733,-.0596878155851779,16010
9,0,sportsArea,.0077578806379855,-.0596878155851779,16010
9,0,year14,-.0034544944318606,-.0596878155851779,16010
9,0,rice10,-.028790721295888,-.0596878155851779,16010
9,0,ln_gdp_hist,.0427071535780523,-.0596878155851779,16010
9,0,urban2000_10,-.0233767121187791,-.0596878155851779,16010
9,0,diff,-.0596878155851779,-.0596878155851779,16010
9,0,expl,-.0483506503875651,-.0596878155851779,16010
9,0,pr_0,.1554431727442108,-.0596878155851779,16010
9,0,pr_1,.2151309883293887,-.0596878155851779,16010
10,0,edu,-.009686001540338,-.0924422621367338,10772
10,0,plants,.0159871306106014,-.0924422621367338,10772
10,0,age,-.0000416798466561,-.0924422621367338,10772
10,0,gender,.0005643543017166,-.0924422621367338,10772
10,0,marriage,-.0002712686407386,-.0924422621367338,10772
10,0,ln_income,.0001765510064223,-.0924422621367338,10772
10,0,health,-.0002922311532522,-.0924422621367338,10772
10,0,sportsArea,.0043865629791542,-.0924422621367338,10772
10,0,year14,-.0122484979312906,-.0924422621367338,10772
10,0,rice10,-.1057866263269372,-.0924422621367338,10772
10,0,ln_gdp_hist,.0293081302324931,-.0924422621367338,10772
10,0,urban2000_10,-.0189415084672101,-.0924422621367338,10772
10,0,diff,-.0924422621367338,-.0924422621367338,10772
10,0,expl,-.0968201982113956,-.0924422621367338,10772
10,0,pr_0,.1581387646961417,-.0924422621367338,10772
